bot_id,market,algorithm,symbol,closed_trades_72h,wins,win_rate_pct,realized_pnl_72h,status,deactivated_at,deactivation_reason
gold_xgboost_v5,GOLD,xgboost,,6,0,0.0,-2.22,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 6 lenh dong + realized PnL -2.22 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xau_spot_egarch__ps_v3,GOLD,egarch__ps,XAU_spot,29,1,3.4,-2.21,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 3.4% (<25%) tren 29 lenh dong + realized PnL -2.21 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_egarch_v3,GOLD,egarch,,30,1,3.3,-2.12,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 3.3% (<25%) tren 30 lenh dong + realized PnL -2.12 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
crypto_gru_nn_v9,CRYPTO,gru_nn,,88,14,15.9,-2.07,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 15.9% (<25%) tren 88 lenh dong + realized PnL -2.07 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_random_forest_v9,GOLD,random_forest,,15,2,13.3,-1.67,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 13.3% (<25%) tren 15 lenh dong + realized PnL -1.67 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_ko_lstm_nn__ps_v9,SP500,lstm_nn__ps,KO,10,2,20.0,-1.42,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 20.0% (<25%) tren 10 lenh dong + realized PnL -1.42 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
crypto_lightgbm_v9,CRYPTO,lightgbm,,32,3,9.4,-1.31,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 9.4% (<25%) tren 32 lenh dong + realized PnL -1.31 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
nasdaq_msft_xgboost__ps_v9,NASDAQ,xgboost__ps,MSFT,5,0,0.0,-1.07,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 5 lenh dong + realized PnL -1.07 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xgboost_v8,GOLD,xgboost,,14,0,0.0,-1.00,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 14 lenh dong + realized PnL -1.00 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_jpm_xgboost__ps_v3,SP500,xgboost__ps,JPM,6,0,0.0,-0.97,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 6 lenh dong + realized PnL -0.97 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_jpm_xgboost__ps_v9,SP500,xgboost__ps,JPM,6,0,0.0,-0.97,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 6 lenh dong + realized PnL -0.97 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_egarch_v4,SP500,egarch,,6,0,0.0,-0.74,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 6 lenh dong + realized PnL -0.74 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
nasdaq_cost_meta_stack__ps,NASDAQ,meta_stack__ps,COST,5,0,0.0,-0.49,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 5 lenh dong + realized PnL -0.49 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_unh_egarch__ps_v3,SP500,egarch__ps,UNH,5,0,0.0,-0.40,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 5 lenh dong + realized PnL -0.40 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
