bot_id,market,algorithm,symbol
crypto_btc_gru_nn__ps_v10,CRYPTO,gru_nn__ps,BTC
crypto_btc_gru_nn__ps_v2,CRYPTO,gru_nn__ps,BTC
crypto_eth_gru_nn__ps_v3,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v4,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v10,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v7,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v6,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v5,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v8,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v9,CRYPTO,gru_nn__ps,ETH
crypto_eth_gru_nn__ps_v2,CRYPTO,gru_nn__ps,ETH
crypto_sol_gru_nn__ps_v10,CRYPTO,gru_nn__ps,SOL
crypto_sol_gru_nn__ps_v2,CRYPTO,gru_nn__ps,SOL
crypto_sol_gru_nn__ps_v7,CRYPTO,gru_nn__ps,SOL
crypto_sol_gru_nn__ps_v8,CRYPTO,gru_nn__ps,SOL
crypto_sol_gru_nn__ps,CRYPTO,gru_nn__ps,SOL
crypto_sol_gru_nn__ps_v5,CRYPTO,gru_nn__ps,SOL
crypto_lightgbm_v10,CRYPTO,lightgbm,
crypto_lightgbm_v4,CRYPTO,lightgbm,
crypto_btc_lightgbm__ps_v2,CRYPTO,lightgbm__ps,BTC
crypto_btc_lightgbm__ps_v4,CRYPTO,lightgbm__ps,BTC
crypto_btc_lightgbm__ps_v5,CRYPTO,lightgbm__ps,BTC
crypto_btc_lightgbm__ps_v10,CRYPTO,lightgbm__ps,BTC
crypto_eth_lightgbm__ps_v2,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps_v5,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps_v10,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps_v6,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps_v7,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps_v8,CRYPTO,lightgbm__ps,ETH
crypto_eth_lightgbm__ps_v4,CRYPTO,lightgbm__ps,ETH
