id,market,algorithm,sym,closed,wins,wr,pnl,bucket
nasdaq_intc_random_forest__ps_v6,NASDAQ,random_forest__ps,INTC,12,3,25.0,7.43,B_FRAGILE_lowwr_profit
nasdaq_tsla_arima_garch__ps_v9,NASDAQ,arima_garch__ps,TSLA,8,2,25.0,7.54,B_FRAGILE_lowwr_profit
gold_egarch_v9,GOLD,egarch,"",95,28,29.5,8.55,B_FRAGILE_lowwr_profit
nasdaq_intc_moving_average__ps_v9,NASDAQ,moving_average__ps,INTC,8,2,25.0,9.04,B_FRAGILE_lowwr_profit
nasdaq_amd_arima_garch__ps_v7,NASDAQ,arima_garch__ps,AMD,7,2,28.6,9.18,B_FRAGILE_lowwr_profit
nasdaq_amd_random_forest__ps_v7,NASDAQ,random_forest__ps,AMD,10,2,20.0,9.18,B_FRAGILE_lowwr_profit
nasdaq_aapl_arima_garch__ps_v9,NASDAQ,arima_garch__ps,AAPL,7,2,28.6,9.65,B_FRAGILE_lowwr_profit
nasdaq_intc_random_forest__ps_v7,NASDAQ,random_forest__ps,INTC,12,3,25.0,9.79,B_FRAGILE_lowwr_profit
gold_gru_nn_v9,GOLD,gru_nn,"",52,11,21.2,10.66,B_FRAGILE_lowwr_profit
nasdaq_sarima_v7,NASDAQ,sarima,"",60,17,28.3,10.75,B_FRAGILE_lowwr_profit
crypto_gru_nn_v11,CRYPTO,gru_nn,"",81,15,18.5,11.04,B_FRAGILE_lowwr_profit
crypto_gru_nn_v12,CRYPTO,gru_nn,"",81,15,18.5,11.04,B_FRAGILE_lowwr_profit
nasdaq_ensemble_v8,NASDAQ,ensemble,"",34,10,29.4,11.74,B_FRAGILE_lowwr_profit
crypto_random_forest_v3,CRYPTO,random_forest,"",32,8,25.0,13.88,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v4,CRYPTO,gru_nn__ps,SOL,9,2,22.2,14.99,B_FRAGILE_lowwr_profit
crypto_xgboost_v5,CRYPTO,xgboost,"",9,2,22.2,15.60,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v2,CRYPTO,gru_nn__ps,SOL,14,3,21.4,17.71,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v3,CRYPTO,gru_nn__ps,SOL,17,4,23.5,17.79,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v6,CRYPTO,gru_nn__ps,SOL,17,4,23.5,17.79,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v9,CRYPTO,gru_nn__ps,SOL,19,5,26.3,20.30,B_FRAGILE_lowwr_profit
crypto_sol_lstm_nn__ps_v8,CRYPTO,lstm_nn__ps,SOL,6,1,16.7,20.39,B_FRAGILE_lowwr_profit
crypto_sol_lstm_nn__ps_v7,CRYPTO,lstm_nn__ps,SOL,6,1,16.7,20.39,B_FRAGILE_lowwr_profit
crypto_sol_lstm_nn__ps,CRYPTO,lstm_nn__ps,SOL,7,2,28.6,20.68,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v8,CRYPTO,gru_nn__ps,SOL,14,2,14.3,20.96,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v5,CRYPTO,gru_nn__ps,SOL,5,1,20.0,21.71,B_FRAGILE_lowwr_profit
crypto_sol_lstm_nn__ps_v5,CRYPTO,lstm_nn__ps,SOL,5,1,20.0,21.71,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v10,CRYPTO,gru_nn__ps,SOL,5,1,20.0,21.71,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps_v7,CRYPTO,gru_nn__ps,SOL,13,2,15.4,22.28,B_FRAGILE_lowwr_profit
crypto_sol_gru_nn__ps,CRYPTO,gru_nn__ps,SOL,14,3,21.4,22.48,B_FRAGILE_lowwr_profit
